title,company,location,locationType,type,salary,startDate,description,hiringCriteria,url
Design Technology - Internship (Start ASAP),Gensler Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Gensler as a Design Technology Intern in Singapore to support regional design technology initiatives and project delivery. Your role Here’s what you will be doing: Gain insight into the strategic planning and implementation of Gensler’s Design Technology vision at a regional and office-wide level. Partner with project teams alongside the Design Technology team to implement design technology concepts, tools, and workflows on live projects. Participate in design technology storytelling for internal sharing and external showcasing to clients and stakeholders. Work hands-on with the latest technology in the AEC industry, including Gensler’s proprietary software. Learn and contribute to regional design technology initiatives. About you The company is looking for: Fresh graduates are welcome to apply. Good communication and interpersonal skills. Self-motivated in learning technology skills and a great team player. Creative thinker dedicated to problem-solving, research, and innovation. Exceptionally high level of attention to detail. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/gensler-singapore/jobs-internships/design-technology-internship
"Student Engineer, Geotechnical Internship (Jan 2026)",Aurecon Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jan 2026 - 31 Jan 2026,"Join Aurecon as a Geotechnical Engineering Intern in Singapore, gaining hands-on experience on infrastructure projects with a focus on innovation and diversity. Your role Here’s what you will be doing: Undertake geotechnical engineering design and analysis on infrastructure construction projects and deliver solutions to complex problems. Resolve tasks or problems that arise during design and construction stages with initiative. Prepare detailed design reports and presentations for clients. Work independently and communicate effectively with project team members. Collaborate on projects across different geographies and markets within the Singapore Infrastructure business. About you The company is looking for: Current student pursuing a recognised Civil or Geotechnical Engineering qualification (Bachelor’s or Master’s degree). Sound understanding and application of Singapore design codes and local practices. Experience with commonly used geotechnical analysis software including Plaxis. Professional experience in the application of Eurocodes. Energetic, proactive, reliable team player with excellent communication skills. Genuine passion for re-imagining engineering and commitment to continuous learning. Training & development Gain hands-on experience working on real projects. Receive valuable feedback from team leaders and mentors. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/aurecon-singapore/jobs-internships/student-engineer-geotechnical-internship
"Hardware Engineering, R&D Intern (Start ASAP)",Rapsodo,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Rapsodo as a Hardware Engineering Intern to gain hands-on experience in sports product design and development within a fast-growing sports technology company. Your Role Here’s what you will be doing: Work in a team on a range of sports product research, design, and development. Witness products evolve from sketch to mass production. Get hands-on with iterative prototyping and testing. Apply technical and software skills. Evaluate new component EOL based on R&D test plan. Assist with analyzing and repairing Printed Circuit boards down to the component level using a multimeter, oscilloscope, and other laboratory equipment. Use Pads Mentor Graphics for PCB Design. Troubleshoot the R&D Design product. About You The company is looking for: Pursuing a Bachelor's Degree in Electrical and Electronic Engineering or a relevant field. A proactive, organized & meticulous person who can work independently in a fast-paced environment. Ability to work independently with little supervision. Basic soldering knowledge. Experience with electronic hobby projects. Proficiency in MS Excel. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/rapsodo/jobs-internships/hardware-engineering-rd-intern
Environmental Intern (Acoustic) (Start ASAP),AECOM Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Assist with noise and vibration measurements, acoustic modeling, and compliance reporting at a global infrastructure leader. Your Role Key responsibilities include: Assist with noise and vibration measurements on-site. Help with acoustic calculations and modeling using software tools. Review drawings for acoustic compliance. Prepare reports and documentation for projects. About You The company is looking for: Currently undertaking a Bachelor's Degree in Environmental Engineering, Acoustics, or related field. Basic knowledge of acoustic principles and MS Office. Good communication and teamwork skills. Compensation & Benefits Medical, dental, and vision benefits. Life, AD&D, and disability benefits. Paid time off and leaves of absence. Voluntary benefits and perks. Flexible work options and well-being resources. Employee assistance program and business travel insurance. Service recognition awards. Retirement savings plan and employee stock purchase plan. Training & Development Access to award-winning training and development programs designed to expand technical expertise and leadership skills. Career Progression Opportunity to work on groundbreaking projects globally with a network of experts, supporting growth and career ambitions. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/aecom-singapore/jobs-internships/environmental-intern-acoustic
Robotics Integration & Simulation (Industry 4.0) Intern  (Start ASAP),Thales Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Thales in Singapore as a Robotics Integration & Simulation Intern to work with COBOTs and AMRs in a cutting-edge manufacturing environment. Your Role Here’s what you will be doing: Work in tandem with the in-house Robotics & Automation Engineer and Process Engineers. Document developed solutions to facilitate handover procedures towards the end of the internship. Perform any other ad hoc duties as and when required. About You The company is looking for: Diploma in Mechatronics, Mechanical Engineering, Electrical & Electronic Engineering, Computer Science (Robotics-related fields), or currently pursuing a Bachelor’s Degree in these fields. Hands-on experience working with COBOTs and AMRs. Proficiency in Fusion 360 or other 3D modeling software is a plus. Experience with building robotics simulation environments is a plus. Training & Development Learn about the processes in a real manufacturing plant. Build simulation environments for robots. Program and optimise 6 DOF collaborative robots (COBOT) and autonomous mobile robots (AMR). Gain hands-on experience in additive (FDM) and subtractive (CNC) manufacturing. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Diploma or higher,https://sg.prosple.com/graduate-employers/thales-singapore/jobs-internships/robotics-integration-simulation-industry-40-intern
Logistics Intern (Start ASAP),Micron Technology Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Micron Technology to support AI-driven logistics solutions and Singapore AEO certification in a global, innovative environment. Your role Key responsibilities include: Prepare and participate in Singapore AEO certification Collaborate with IT and SMAI teams to manage and develop AI solutions for Global Logistics across all Micron sites Ensure trade and customs regulatory compliance, including pre-checks of shipper documents for destination country regulations before cargo pickup Create repetitive and routine tasks such as auto-filling customs declaration forms Develop knowledge bases for AI learning and decision making Support documentation and project management for logistics Deliverables include auto-assigning Harmonized Tariff Schedule Codes based on product descriptions, AI pre-checks of shipper documents, and achieving 70% readiness for AEO certification audit About you The company is looking for: General problem-solving skills Programming skills, including Python coding Experience with Optical Recognition and AI technology software How to apply To request assistance with the application process and/or for reasonable accommodations, contact hrsupport_sg@micron.com. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/micron-technology-singapore/jobs-internships/logistics-intern
"Technology Consulting, Data and Artificial Intelligence Offcycle Intern (Jul 2026)",EY Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jul 2026 - 31 Jul 2026,"Your Role Key responsibilities include: Work effectively as a team member, sharing responsibility, providing support, maintaining communication, and updating senior team members on progress. Demonstrate in-depth technical capabilities and professional knowledge, assimilate new knowledge, and maintain good business acumen. Help prepare reports or proposals to be delivered to clients and other parties. About You The company is looking for: Familiarity with machine learning techniques. Good understanding of various data structures, common methods, and tools used for data transformation. Strong attention to detail and ability to multi-task. Excellent command of written and spoken English. Familiarity with cloud technologies, DevOps tools, ETL tools, machine learning frameworks, visualization software, and Unix shell scripting is a plus. How to Apply Upload your latest resume and academic transcripts with your online application. Applicants must be able to commit a minimum of 4 months (full-time) from July/August 2026. Inform EY as soon as possible about any disability-related adjustments or accommodations needed during the recruitment process. Only shortlisted candidates will be contacted due to high volume of applications. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/ey-singapore/jobs-internships/technology-consulting-data-and-artificial-intelligence-offcycle-intern
Supplier Management Intern (Start ASAP),Silicon Labs,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Silicon Labs as a Supplier Management Intern to support supplier relationships, performance tracking, and cross-functional collaboration in a leading semiconductor company. Your Role Here’s what you will be doing: Assist Supplier Managers with daily communication and relationship maintenance to foster healthy supplier partnerships. Support the tracking of supplier operational performance, including delivery and service levels, and help prepare relevant performance review reports. Support cross-functional teams in handling change requests and cost reduction activities related to suppliers. Help organize and update supplier-related documents and databases. Participate in inter-departmental meetings, coordinating work between Supplier Management, Quality, and Engineering teams to ensure smooth information flow and timely issue resolution. Assist in data collection and reporting during supply chain anomalies or risks to support management decision-making. About You The company is looking for: Currently pursuing a Bachelor’s Degree in Engineering, Industrial Engineering, Supply Chain Management, Business Administration, or a related field. Strong interest in semiconductor operations and working with cross-functional teams. Excellent written, verbal, and presentation skills. Ability to use spreadsheet software (e.g., Excel) for data organization and analysis. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/silicon-labs/jobs-internships/supplier-management-intern
Research & Development Intern - Hardware Engineering (Start ASAP),Rapsodo,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Rapsodo as a Hardware Engineering Intern to gain hands-on experience in sports product design and development within a dynamic, global sports technology company. Your Role Here’s what you will be doing: Work in a team on a range of sports product research, design, and development. Witness products evolve from sketch to mass production. Get hands-on with iterative prototyping and testing. Apply technical and software skills. Evaluate new component EOL based on R&D test plan. Assist with analyzing and repairing Printed Circuit boards down to component level using a multimeter, oscilloscope, and other laboratory equipment. Use Pads Mentor Graphics for PCB Design. Troubleshoot R&D Design product. About You The company is looking for: Pursuing Bachelor's Degree in Electrical and Electronic Engineering or relevant field. A pro-active, organized & meticulous person who is able to work independently under a fast-paced environment. Ability to work independently with little supervision. Basic soldering knowledge. Experience with electronic hobby projects. Proficiency in MS Excel. Training & Development Gain hands-on experience, work on real-world projects, and collaborate with experienced professionals in the industry. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/rapsodo/jobs-internships/research-development-intern-hardware-engineering
Application Automation Engineer Intern (Start ASAP),AUMOVIO Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join AUMOVIO’s Innovation team to develop scalable web applications and robotic process automation solutions that enhance operational efficiency. Your Role Here’s what you will be doing: Collaborate with the R&D innovation team to develop software applications and necessary APIs. Design, develop, and maintain web applications using front-end and backend technologies. Analyze and identify automation opportunities in business processes. Develop and integrate RPA bots with web applications, APIs, databases, and third-party systems. Perform testing, debugging, and performance optimization for web applications and automation workflows. About You The company is looking for: Familiarity with programming languages such as Python, Node.js, Java. Experience with web application technologies including React, Next.js, Vue.js, HTML, CSS. Knowledge of web technology protocols such as HTTP, WebSocket, REST API, MQTT. Knowledge of robotic process automation tools like UiPath, Microsoft Power Automate is an advantage. Familiarity with Docker and cloud technologies such as Amazon Web Services (AWS) is an advantage. Knowledge in AI context engineering and Large Language Models (LLM) is an advantage. Willingness to learn, good problem-solving skills, and ability to work independently. Career Progression Opportunities to contribute to research and innovation within the R&D innovation team. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics,https://sg.prosple.com/graduate-employers/aumovio-singapore/jobs-internships/application-automation-engineer-intern
Data Analysis Automation Internship (Jun 2026),Infineon Technologies Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jun 2026 - 30 Jun 2026,"Internship opportunity to develop data analysis automation scripts within a global semiconductor leader focused on innovation and sustainability. Your Role Key responsibilities include: Engage in data post-processing related to backend final test Support conceptualization and application of statistical methods in backend yield analysis and reporting Develop data analysis automation scripts Assist engineers with ad-hoc scripting requests for data analysis automation About You The company is looking for: Students pursuing a Bachelor's or Master's degree in Electrical/Electronic Engineering, Computer Engineering/Science, or Information Technology Knowledge of programming languages: Python, R Familiarity with software tools: Tableau, Knime Motivation to learn and acquire new knowledge Availability for a 5+ months internship, preferably from June 2026 to December 2026 Training & Development Work under the guidance of an assigned mentor within the Global Product Engineering team Gain understanding of back-end assembly packaging processes and final test production procedures Learn application of statistical methods in backend yield analysis and reporting Develop programming skills using Python and Knime Enhance communication skills through interaction with international colleagues How to Apply Upload your resume to find out how well your profile matches this job and submit your application accordingly. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/infineon-technologies-singapore/jobs-internships/data-analysis-automation-internship
Finance Intern (Jun 2026),Seagate Technology Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jun 2026 - 30 Jun 2026,"Join the Site Finance Team in Singapore to support financial planning, analysis, and operational performance in a leading media operations manufacturing environment. Your Role Here’s what you will be doing: Consolidate and analyze weekly financial outlook and actuals. Assist in timely corporate submission, financial operation metrics, and cost control tracking. Participate in quarterly budgeting, closing, and forecast processes. Support fixed asset and costing functions. Engage in other projects, including annual PI, correlation and data analysis, process analysis and improvement, and department events. Work closely with business partners to manage financial performance. About You The company is looking for: Proactive and positive attitude. Good communication and interpersonal skills. Flexibility and ability to handle multiple tasks. Commitment to a 6-month credit-bearing internship (June to December). Experience with Microsoft Office and accounting software such as SAP or similar. Currently pursuing a Bachelor’s degree in Finance, Accountancy, or relevant fields. Compensation & Benefits On-site canteen offering breakfast, lunch, dinner, and snacks. Facilities include an in-house gym and dance studio. After-work badminton and table tennis competitions. On-site celebrations and community volunteer opportunities. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/seagate-technology-singapore/jobs-internships/finance-intern-1
Hardware Development Intern (Jan 2026),Schneider Electric Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jan 2026 - 28 Feb 2026,"Join Schneider Electric as a Hardware Development Intern to assist in schematic design, hardware verification, and collaborate across teams in a global, sustainability-driven company. Your Role Here’s what you will be doing: Assist in schematic design, simulation, and PCB layout using EDA tools such as Pspice, Ltspice, and Cadence Support hardware verification activities, including lab testing, debugging, and documentation Perform component selection and BOM management under guidance Collaborate with cross-functional teams (firmware, software, verification test) to ensure design integration Contribute to design reviews and provide documentation for hardware development processes Maintain lab equipment and support test automation setups About You The company is looking for: Pursuing a Bachelor's or Master’s degree in Electrical/Electronic Engineering or a related field Passionate about engineering Open-minded and open mindset Good at observation, discovery, deduction, and evolution Good communication and teamwork skills Understanding the integration of knowledge and action Dedicated to becoming an engineer Compensation & Benefits Global Family Leave Comprehensive medical coverage for employee and dependents Worldwide Employee Stock Ownership Hybrid work arrangement (New Ways of Working) How to Apply You must submit an online application to be considered for this position. Please indicate your exact availability in your application. Students who can commit full-time will be preferred. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/schneider-electric-singapore/jobs-internships/hardware-development-intern
Process Engineer (Lithography) - University Intern (Jun 2026),GlobalFoundries Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jun 2026 - 30 Jun 2026,"Join GlobalFoundries as a University Intern to improve lithography scanner alignment and enhance semiconductor manufacturing productivity. Your Role Here’s what you will be doing: Scope out high hit rate technology and processes facing chronic scanner alignment rejects (4 weeks) Collect and analyze alignment signals using alignment analyzer software (4 weeks) Develop and optimize new alignment strategies to improve reject rates (6 weeks) Implement and monitor the new alignment strategy’s reject performance (6 weeks) Collaborate with teams to resolve lithography process issues and improve equipment productivity and product cycle time About You The company is looking for: Active pursuit of a Bachelor’s Degree in Electrical Engineering or a related field through an accredited program during the internship period Good communication skills Ability to work well in a team Availability for a 20-24 week credit-bearing internship starting June 2026 Training & Development One-on-one mentorship Work assignments prioritizing growth and potential Professional development opportunities Networking with executives Career Progression Opportunity to gain skills for a career in the semiconductor industry Experience in project management, collaborative work, and presentation skills How to Apply Indicate your internship period clearly in your CV, resume, or cover letter when applying. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/globalfoundries-singapore/jobs-internships/process-engineer-lithography-university-intern
Engineering Intern - Controls (Start ASAP),Johnson Controls Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join the Project Delivery, SEA team as an Engineering Intern to support building management systems projects with design, testing, and documentation tasks. Your Role Here’s what you will be doing: Drive customer proposals, project plans, documentation, engineering designs, and schematics with team guidance. Assist in developing and testing control logic for HVAC and mechanical systems using Johnson Controls. Prepare and assist on document submittals with the project manager. Support configuration of sensors, controllers, and networks for building automation projects. Participate in site surveys, installation supervision, and system commissioning under guidance. Work with engineering teams to develop wiring diagrams, control panel layouts, and sequence of operations (SOO). Assist with software integration, point mapping, and visualization setup for BMS interfaces (e.g., SCADA, HMI, dashboards). Document field activities, test procedures, and update As-Built drawings and submittals. Provide technical support and troubleshooting assistance for live projects. Attend internal and external technical meetings and prepare reports or presentations as needed. About You The company is looking for: Pursuing or recently completed a Diploma or Bachelor's degree in Electrical, Mechanical, Mechatronics, or Building Services Engineering. Basic understanding of HVAC systems, control systems, and electrical circuits. Familiarity with AutoCAD, Microsoft Office, and optionally programming tools like BACnet, Modbus. Strong problem-solving, communication, and team collaboration skills. Willingness to learn and work on-site occasionally. Passionate about smart buildings, sustainability, and automation technologies. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Diploma or higher,https://sg.prosple.com/graduate-employers/johnson-controls-singapore/jobs-internships/engineering-intern-controls
Data Analytics Intern (Start ASAP),NTUC First Campus,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Your Role Here’s what you will be doing: Contribute as a data analyst intern within NTUC First Campus’s multidisciplinary data team including data engineers, data scientists, and data analysts Report to the NFC Data Lead, accountable to the NFC Chief Strategy and Transformation Officer and NTUC Nexus Chief Data Officer Conduct data analysis in a cloud-based environment Collaborate with key business stakeholders on high impact data projects within NFC and across other NTUC social enterprises Support NFC’s mission of delivering quality early childhood services by harnessing data value Remain a member of the NTUC Nexus tech community focused on tech and social good About You The company is looking for: Keen interest in understanding and solving business problems with data Knowledge in machine learning/data science is a plus Familiarity with database languages (e.g. SQL) is a must Well-versed in data storytelling best practices and hands-on experience with data visualisation software such as Google Data Studio and Tableau Strong oral and written communication skills Self-starter with attention to detail, able to work independently and as part of a team to drive and deliver projects Knowledge of Cloud technologies is a good-to-have Training & Development Join a supportive community and dynamic environment that values unique contributions and helps you realise your potential. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management,https://sg.prosple.com/graduate-employers/ntuc-first-campus/jobs-internships/data-analytics-intern
System Engineer Intern (AGV Robotic Fleet Management) (Start ASAP),Seagate Technology Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Seagate’s Global Factory IT Group to develop and deploy innovative AGV Fleet management control systems supporting Smart Factory initiatives. Your role Here’s what you will be doing: Manage assigned tasks and projects. Participate in QA activities and documentation. Collaborate with senior developers on project tasks. Present progress during periodic meetings. Design and develop AGV Fleet management control system for optimized navigation and collision prevention in multi-AGV environments. Run tests and experiments on control flow. Implement algorithms for optimized/shortest navigation paths. Work in an agile, collaborative environment with IT and Operations teams. Deliver solutions on schedule by tackling difficult problems. Provide pluggable modules and monitoring software interfacing with Fleet Management. About you The company is looking for: Familiarity with ROS libraries, WebAPI, MQTT, HTTPS, and RabbitMQ. Good understanding of data structures, network protocols, publish-subscribe models, JSON, and XML. Can-do attitude and willingness to learn new technologies and programming languages. Proficiency in Python, SQL, Sencha, Java, Microservices, Web services, VB.NET, C#, NodeJS, Docker, Kubernetes, and AWS. Experience with databases and data stores such as Postgres and MySQL. Compensation & benefits Onsite canteen offering breakfast, lunch, dinner, and snacks. Facilities including an in-house gym and dance studio. After-work badminton and table tennis competitions. On-site celebrations and community volunteer opportunities. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management,https://sg.prosple.com/graduate-employers/seagate-technology-singapore/jobs-internships/system-engineer-intern-agv-robotic-fleet-management
Network Operations Intern (Aug 2026),Equinix Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Aug 2026 - 31 Aug 2026,"Join Equinix as a Network Operations Intern supporting 24x7 network monitoring and troubleshooting in the Asia Pacific region. Your Role Key responsibilities include: Monitor network devices, software health, and network tools health. Perform level 1 network support, such as circuit verification on switches, routers, and other network devices. Complete network service requests such as DNS and prefix updates. Perform network asset audits to facilitate the clean-up of legacy network devices. Follow up and resolve network cases opened by customers. Process RMAs (Return Material Authorization) for faulty network components. Follow up on root cause from vendors/providers for non-service-impacting network incidents. Document and publish approved work instructions and procedures for internal reference. Manage and process change requests for third-party provider maintenance, ensuring follow-up until approval is obtained. Review and take necessary actions on emails received in the NOC shared mailbox. About You The company is looking for: Proficiency with the fundamentals of Information Technology. Knowledge of Information Security, networks, routing, applications, and development languages. Currently enrolled in an accredited university or college, in the penultimate year of Bachelor’s Degree studies (graduation in 2027 or 2028). Bachelor of Engineering, IT, or Information Systems students are welcome to apply. An additional advantage for candidates open part-time internship beyond August 2026. Training & Development Gain practical work experience and learn from industry experts in a culture that thrives on innovation and delivering results. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/equinix-singapore/jobs-internships/network-operations-intern
SDD Validation Engineer Intern (Start ASAP),Micron Technology Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Micron Technology as an intern to design and implement a real-time dashboard for SSD validation, enhancing operational transparency and data-driven decision-making. Your Role Here’s what you will be doing: Design and implement a sophisticated real-time dashboard consolidating program status across all ongoing projects for the Enterprise SSD CVE team. Integrate the dashboard with the test automation server to capture live test data. Automate the generation of validation scorecards to ensure instant and accurate status updates for efficient tracking and reporting. Learn about SSD technology, its features, and validation methodologies. Troubleshoot and analyze data to support validation processes. Document the development process and communicate findings with engineering teams. Leverage AI/ML to enhance existing features (stretch goal). About You The company is looking for: Proficiency in Python or JavaScript for backend and frontend dashboard development. Effective communication and documentation skills. Knowledge of AI/ML fundamentals is an added advantage. Enrollment in Computer Engineering, Software Engineering, or Electrical/Electronic Engineering courses. How to Apply All qualified applicants will receive consideration without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status. To request assistance with the application process and/or for reasonable accommodations, contact hrsupport_sg@micron.com. Micron prohibits child labor and complies with all applicable laws and labor standards. Micron does not charge recruitment fees or collect unlawful payments from candidates. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics; Degree types: Bachelor or higher,https://sg.prosple.com/graduate-employers/micron-technology-singapore/jobs-internships/sdd-validation-engineer-intern
"Project Development, Cooling - Intern (Jun 2026)",Keppel,Singapore,On-site,"Internship, Clerkship or Placement",,Start date 1 Jun 2026 - 30 Jun 2026,"Join Keppel as an intern supporting project management for District Cooling, Retail Cooling Monitoring, and Electric Vehicle Charging projects. Your role Here’s what you will be doing: Assist the Project Manager in preparing tender documents for District Cooling Systems (DCS), Retail Cooling Monitoring (RCM), and Electric Vehicle (EV) Charging projects. Support the Project Manager in checking and evaluating tender technical submissions. Assist in evaluating Third Party Associates' (TPA) due diligence for Risk and Compliance. Participate in project execution by attending project meetings and site surveys, reviewing Method Statement Risk Assessment (MSRA) submissions, conducting project site inspections, and participating in the Testing & Commissioning of systems. Support project closure documentation and handover requirements to the Operation & Maintenance (O&M) team. Perform other duties as reasonably requested by your immediate supervisor or Head of Department. About you The company is looking for: Proficiency in MS Office software; familiarity with Microsoft Project is an advantage. Attention to detail with excellent communication and writing skills. Ability to collaborate effectively in a team and strong problem-solving skills. Training & development Gain practical knowledge of effective project planning and execution for Cooling and EV projects. Develop an in-depth understanding of Eaas Control Self-Assessment (CSA) processes and their applications. Contribute to improvements in PD processes including digitalization transformation, project management, quality plans, and CSA. Participate in project safety-related matters, safety campaigns, and awareness training to acquire familiarity with Keppel’s Quality, Environmental, Health & Safety, ISO 37001 Management System, CSA implementation, and audit processes. This job may close before the stated closing date, you are encouraged to apply as soon as possible",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Business & Management,https://sg.prosple.com/graduate-employers/keppel/jobs-internships/project-development-cooling-intern
Engineering Intern (Start ASAP),Siemens Singapore,Singapore,On-site,"Internship, Clerkship or Placement",,Start date ASAP,"Join Siemens to support electrification and automation projects by interpreting technical specifications and managing engineering documentation. Your Role Key responsibilities include: Reading technical specifications for electrification and industrial automation systems. Supporting the development and maintenance of technical documentation such as electrical schematics, I/O lists, system architecture diagrams, and equipment datasheets. Assisting with costing and variation claims, including preparation of cost breakdowns and documentation for engineering variation claims, change orders, and scope adjustments. Managing engineering documentation control by organizing, updating, and controlling project documentation including wiring diagrams, test reports, and commissioning records to ensure traceability and compliance. Collaborating with cross-disciplinary teams—including electrical, software, and mechanical engineers—on component selection, control cabinet design, and system integration for automated and electrified systems. About You The company is looking for: A passion for detail and precision, essential for interpreting technical specifications and assisting with technical documentation. Strong English communication skills to ensure clarity and excellent customer service. Highly organized and detail-oriented, critical for managing engineering documentation control and handling hands-on tasks efficiently. Eagerness to learn and thrive in a team setting, ready to work with cross-disciplinary teams and adapt in a fast-paced environment. Strong problem-solving skills and proficiency in Microsoft Office Suite (Word, Excel, Outlook), vital for assisting with costing and variation claims and supporting various technical efforts. How to Apply CV screening. A session with the recruiter to understand motivation and learning goals. 1-2 business interviews. Offer stage. This job may close before the stated closing date, you are encouraged to apply as soon as possible.",Experience requirement: No experience required; Working rights: Singaporean Citizen; Study fields: Engineering & Mathematics,https://sg.prosple.com/graduate-employers/siemens-singapore/jobs-internships/engineering-intern-3
